Fecha,nro_registro,nro_actualiza,nro_consulta,nro_elimina
2020-08-02 23:58:48,3,3,2,0
2020-08-02 23:58:49,2,2,3,0
2020-08-02 23:58:50,3,4,5,0
2020-08-02 23:58:51,2,1,1,0
2020-08-02 23:58:52,2,1,2,0
2020-08-02 23:58:53,2,1,0,0
2020-08-02 23:58:54,11,2,5,0
2020-08-02 23:58:55,6,1,3,0
2020-08-02 23:58:56,7,2,2,0
2020-08-02 23:58:57,4,1,3,0
2020-08-02 23:58:58,8,1,2,0
2020-08-02 23:58:59,11,0,2,0
2020-08-02 23:59:00,2,0,0,0
2020-08-02 23:59:01,15,0,0,0
2020-08-02 23:59:02,4,0,0,0
2020-08-02 23:59:03,1,0,0,0
2020-08-02 23:59:16,5,0,4,4
2020-08-02 23:59:17,4,0,4,1
2020-08-02 23:59:18,3,0,1,0
2020-08-02 23:59:19,4,0,4,0
2020-08-02 23:59:20,23,0,2,0
2020-08-02 23:59:21,21,0,0,0
2020-08-02 23:59:22,23,0,0,0
2020-08-02 23:59:23,8,0,0,0
2020-08-02 23:59:24,3,0,0,0
2020-08-02 23:59:25,1,0,0,0
2020-08-02 23:59:43,5,5,5,5
2020-08-02 23:59:44,4,2,1,1
2020-08-02 23:59:45,3,3,3,3
2020-08-02 23:59:46,3,4,5,4
2020-08-02 23:59:47,3,3,3,1
2020-08-02 23:59:48,8,5,9,1
2020-08-02 23:59:49,7,1,5,0
2020-08-02 23:59:50,6,1,3,0
2020-08-02 23:59:51,8,1,0,0
2020-08-02 23:59:52,10,0,3,0
2020-08-02 23:59:53,7,0,2,0
2020-08-02 23:59:54,4,0,3,0
2020-08-02 23:59:55,2,0,1,0
2020-08-02 23:59:56,13,0,2,0
2020-08-02 23:59:57,21,0,0,0
2020-08-02 23:59:58,6,0,0,0
2020-08-03 00:00:13,7,6,5,6
2020-08-03 00:00:14,3,2,1,0
2020-08-03 00:00:15,1,2,2,3
2020-08-03 00:00:16,1,1,1,2
2020-08-03 00:00:17,0,1,2,1
2020-08-03 00:00:18,3,1,1,0
2020-08-03 00:00:19,1,3,2,4
2020-08-03 00:00:20,5,4,4,3
2020-08-03 00:00:21,3,3,3,1
2020-08-03 00:00:22,2,2,3,0
2020-08-03 00:00:23,4,4,4,0
2020-08-03 00:00:24,0,1,2,0
2020-08-03 00:00:25,5,3,1,0
2020-08-03 00:00:26,15,5,4,0
2020-08-03 00:00:27,26,2,0,0
2020-08-03 00:00:28,19,0,0,0
2020-08-03 00:00:29,15,0,0,0
2020-08-03 00:00:46,5,5,2,2
2020-08-03 00:00:47,1,0,3,3
2020-08-03 00:00:48,4,5,4,0
2020-08-03 00:00:49,4,4,3,0
2020-08-03 00:00:50,4,4,5,0
2020-08-03 00:00:51,5,4,4,0
