Fecha,MemoriaUsadaJVM(bytes)
2020-08-03 03:06:55,94819888
2020-08-03 03:07:05,94529392
2020-08-03 03:07:15,128044832
2020-08-03 03:07:25,132367488
2020-08-03 03:07:35,97225320
2020-08-03 03:07:45,100369360
2020-08-03 03:07:55,133372704
2020-08-03 03:08:05,85572488
2020-08-03 03:08:15,115228800
2020-08-03 03:08:25,88257616
2020-08-03 03:08:35,100243816
2020-08-03 03:08:45,103984432
2020-08-03 03:08:55,90109768
2020-08-03 03:09:05,91080968
2020-08-03 03:09:15,109970024
2020-08-03 03:09:25,95273688
2020-08-03 03:09:35,94225600
2020-08-03 03:09:45,92065328
2020-08-03 03:09:55,114172712
2020-08-03 03:10:05,115522872
2020-08-03 03:10:15,118383680
2020-08-03 03:10:25,102190000
2020-08-03 03:10:35,94108936
2020-08-03 03:10:45,107497344
2020-08-03 03:10:55,90290608
2020-08-03 03:11:05,130568536
2020-08-03 03:11:15,118026240
2020-08-03 03:11:25,136278928
2020-08-03 03:11:35,95384744
2020-08-03 03:11:45,106591952
2020-08-03 03:11:55,85027576
2020-08-03 03:12:05,135711448
2020-08-03 03:12:15,123288352
2020-08-03 03:12:25,136537144
2020-08-03 03:12:35,116469192
2020-08-03 03:12:45,127533840
2020-08-03 03:12:55,117290528
2020-08-03 03:13:05,118399248
2020-08-03 03:13:15,108082576
2020-08-03 03:13:25,107428928
2020-08-03 03:13:36,147899960
2020-08-03 03:13:46,100146360
2020-08-03 03:13:56,137587552
2020-08-03 03:14:06,138953496
2020-08-03 03:14:16,143529640
2020-08-03 03:14:26,91259640
2020-08-03 03:14:36,92619280
2020-08-03 03:14:46,98888688
2020-08-03 03:14:56,108359560
2020-08-03 03:15:06,109717328
2020-08-03 03:15:16,113989584
2020-08-03 03:15:26,91136512
2020-08-03 03:15:36,92488224
2020-08-03 03:15:46,96366040
2020-08-03 03:15:56,139299472
2020-08-03 03:16:06,128571448
2020-08-03 03:16:16,84719328
2020-08-03 03:16:26,120710296
2020-08-03 03:16:36,85237200
2020-08-03 03:16:46,89630680
2020-08-03 03:16:56,128567024
2020-08-03 03:17:06,136012344
2020-08-03 03:17:16,83511728
2020-08-03 03:17:26,90014856
2020-08-03 03:17:36,91385840
2020-08-03 03:17:46,96784096
2020-08-03 03:17:56,124546136
2020-08-03 03:18:06,127207256
2020-08-03 03:18:16,132776864
2020-08-03 03:18:26,133702784
2020-08-03 03:18:36,83080128
2020-08-03 03:18:46,87911520
2020-08-03 03:18:56,126867696
2020-08-03 03:19:06,110166024
2020-08-03 03:19:16,137633976
2020-08-03 03:19:26,121754384
2020-08-03 03:19:36,123370416
2020-08-03 03:19:46,129534736
2020-08-03 03:19:56,120770152
2020-08-03 03:20:06,119805800
2020-08-03 03:20:16,86864920
2020-08-03 03:20:26,118164600
2020-08-03 03:20:36,119531840
2020-08-03 03:20:46,124050840
2020-08-03 03:20:56,106830856
2020-08-03 03:21:06,108429224
