Fecha,CPU_Load,Memory_Used,Free_Memory
2020-08-03 00:10:41,0,44.52,1974
2020-08-03 00:10:51,2,44.51,1974
2020-08-03 00:11:01,0,44.42,1978
2020-08-03 00:11:11,0,44.42,1977
2020-08-03 00:11:21,2,44.48,1976
2020-08-03 00:11:31,0,44.45,1977
2020-08-03 00:11:41,0,44.46,1977
2020-08-03 00:11:51,7,44.43,1977
2020-08-03 00:12:01,0,44.36,1980
2020-08-03 00:12:11,0,44.36,1980
2020-08-03 00:12:21,2,44.37,1980
2020-08-03 00:12:31,0,44.33,1981
2020-08-03 00:12:41,0,44.34,1980
2020-08-03 00:12:51,2,44.36,1980
2020-08-03 00:13:01,0,44.26,1983
2020-08-03 00:13:11,0,44.25,1983
2020-08-03 00:13:21,4,44.29,1983
2020-08-03 00:13:31,0,44.27,1983
2020-08-03 00:13:41,0,44.26,1983
2020-08-03 00:13:51,0,44.16,1987
2020-08-03 00:14:01,5,44.5,1976
2020-08-03 00:14:21,2,44.17,1987
2020-08-03 00:14:31,0,44.14,1987
2020-08-03 00:14:41,0,44.17,1987
2020-08-03 00:14:51,2,44.09,1989
2020-08-03 00:15:01,0,44.09,1990
2020-08-03 00:15:12,0,42.83,2034
2020-08-03 00:15:21,2,42.86,2033
2020-08-03 00:15:31,8,42.81,2035
2020-08-03 00:15:41,0,42.79,2036
2020-08-03 00:15:51,7,42.8,2035
2020-08-03 00:16:01,0,42.8,2035
2020-08-03 00:16:21,0,42.76,2036
2020-08-03 00:16:31,0,42.78,2036
2020-08-03 00:16:41,0,42.69,2039
2020-08-03 00:16:51,4,42.68,2039
2020-08-03 00:17:01,0,42.71,2039
2020-08-03 00:17:11,0,42.7,2039
2020-08-03 00:17:21,0,42.71,2038
2020-08-03 00:17:31,0,42.71,2038
2020-08-03 00:17:41,0,42.7,2039
2020-08-03 00:18:01,0,42.65,2041
2020-08-03 00:18:11,0,42.63,2041
2020-08-03 00:18:21,2,42.65,2041
2020-08-03 00:18:31,0,42.65,2041
2020-08-03 00:18:41,0,42.65,2040
2020-08-03 00:18:51,0,42.65,2041
2020-08-03 00:19:01,0,42.63,2041
2020-08-03 00:19:11,0,42.64,2040
2020-08-03 00:19:21,16,42.63,2041
2020-08-03 00:19:31,0,42.63,2041
2020-08-03 00:19:41,0,42.62,2042
2020-08-03 00:19:51,0,42.63,2042
2020-08-03 00:20:01,0,42.63,2041
2020-08-03 00:20:11,0,42.61,2042
2020-08-03 00:20:21,0,42.66,2040
2020-08-03 00:20:31,4,42.59,2043
2020-08-03 00:20:41,0,42.6,2042
2020-08-03 00:20:51,2,42.59,2043
